"","cnsm_id","zip5","user_id","hhincome","dwelling","prkids","home_own_rent","marital_stat","online_dols","match_level","life_stage","age","educ"
"1","oy35590",22191,15680176,NA,"","","","","","","",NA,NA
"2","lx95474",53206,10255772,NA,"","","","","","","M",NA,NA
"3","wy49908",1701,19763260,NA,"","","","","","","",NA,NA
"4","zx88582",11721,8049356,11,"S","Y","O","M","D","1","M",82,1
"5","sy29881",6511,14462130,NA,"","","","","","","Y",NA,NA
"6","ny48948",2908,9670248,5,"S","Y","O","M","A","1","F",32,NA
"7","yy47136",3060,19363356,NA,"","","","","","","F",NA,NA
"8","ay25922",8730,13268362,NA,"","","","","","","",NA,NA
"9","xx34595",6416,2022796,7,"S","Y","O","M","A","1","F",42,2
"10","px91848",53726,9658572,NA,"","","","","","","M",NA,NA
"11","ax86025",20708,8163388,5,"M","N","","M","H","1","Y",42,1
"12","nx54485",6095,4374470,12,"S","N","O","S","D","1","Y",34,2
"13","cz25575",60613,39203,12,"M","N","O","S","H","4","F",42,3
"14","ky44955",2148,18896003,NA,"M","","O","","E","1","Y",58,3
"15","ny25791",10021,13236598,NA,"","","","","","","M",NA,NA
"16","gx47341",60201,3645588,9,"S","N","O","M","F","1","Y",42,3
"17","oy39745",8750,17839776,NA,"","","","","","","F",NA,NA
"18","dy48770",2135,19636596,5,"S","Y","O","S","H","1","M",28,1
"19","xy50952",20015,20000949,11,"S","","O","M","E","2","M",36,1
"20","xx42951",6382,3170296,8,"S","Y","O","M","F","1","M",56,2
"21","ex73163",20052,6532260,13,"S","N","O","M","H","1","M",24,NA
"22","dy38315",1945,17202849,12,"S","Y","O","M","G","1","M",76,2
"23","iy41877",60714,18313149,NA,"","","","","","","",NA,NA
"24","ey38013",10583,17393937,8,"M","Y","O","M","","1","M",48,1
"25","hy24820",11415,12897998,5,"M","N","O","S","","4","Y",40,2
"26","zy51281",11432,20237688,8,"M","Y","O","S","F","1","Y",28,NA
"27","zx48830",2364,3763556,7,"S","N","O","M","H","1","F",36,3
"28","qy46915",60654,19333156,NA,"M","","R","S","F","4","F",50,2
"29","ay29410",22150,8933362,NA,"","","","","","","Y",NA,NA
"30","wy46968",2724,19337862,5,"S","N","O","M","","1","Y",60,1
"31","vy48851",10314,19654656,4,"S","N","O","S","A","1","F",64,NA
"32","sy32400",21087,15043088,8,"S","Y","O","M","H","2","Y",64,1
"33","dx91223",22204,9118862,8,"S","N","O","M","H","1","Y",42,2
"34","cy45077",7026,18930560,NA,"","","","","","","",NA,NA
"35","bx88072",2478,8493156,7,"M","Y","","M","A","1","M",70,3
"36","fy33831",11756,15278056,4,"S","N","O","M","F","2","M",66,2
"37","qx47745",6478,3679170,4,"S","Y","O","M","G","1","F",38,2
"38","dx67583",60654,5907798,6,"M","","","S","E","3","Y",28,2
"39","wy26158",53219,13240262,NA,"S","N","O","S","","1","F",46,2
"40","hy26291",20009,13307472,12,"S","Y","O","M","B","1","Y",22,NA
"41","zy25616",11050,13178276,6,"S","","O","S","G","3","M",40,3
"42","wy32866",2108,15160160,NA,"","","","","","","F",NA,NA
"43","ry24017",1453,12851372,7,"S","Y","O","M","E","2","F",62,3
"44","iy29145",22192,14250598,7,"S","N","O","M","H","1","M",66,1
"45","ly46555",1002,13768630,NA,"M","","","","","3","M",76,1
"46","py18071",8817,11521148,NA,"S","","","S","","1","F",36,2
"47","py43858",2919,18803856,NA,"","","","","","","Y",NA,NA
"48","ay18460",2368,11619098,8,"M","Y","O","S","B","4","F",44,2
"49","dy30536",60025,14632570,13,"M","N","O","S","","5","M",88,2
"50","my51082",6084,20182376,8,"S","N","O","","E","1","F",68,NA
"51","xy32489",11702,15084403,8,"S","Y","O","S","H","2","Y",54,NA
"52","xy45577",10530,19117456,8,"M","","O","M","","1","M",78,2
"53","qx97139",11542,10860656,6,"M","Y","","S","G","1","M",42,NA
"54","uy33831",21239,15352460,NA,"M","","","M","","3","Y",26,1
"55","sy22187",21701,12552860,NA,"S","Y","","B","A","2","M",46,NA
"56","ny21335",7436,12401798,12,"S","Y","O","M","F","1","F",40,3
"57","oy20584",21228,12239156,2,"S","Y","O","M","","1","F",30,2
"58","zy16895",11766,11422930,NA,"S","N","O","S","","2","M",82,1
"59","wy40171",10024,17933937,NA,"","","","","","","Y",NA,NA
"60","ly24274",60610,12898936,12,"M","","","S","G","1","F",48,2
"61","hy16567",2061,11349230,NA,"","","","","","","",NA,NA
"62","ox81213",8730,7564170,NA,"S","Y","O","M","B","1","M",42,2
"63","uy41561",10598,18225388,NA,"","","","","","","",NA,NA
"64","sy43995",20001,18808688,NA,"S","","","","","3","M",54,NA
"65","ny48135",20165,19519630,NA,"","","","","","","F",NA,NA
"66","ky43937",20037,18816162,NA,"","","","","","","Y",NA,NA
"67","ty51551",2045,20302598,7,"S","","","S","C","1","M",38,2
"68","gx69549",21045,6006536,NA,"","","","","","","",NA,NA
"69","cx51115",60056,3268870,NA,"S","Y","O","M","G","1","Y",52,2
"70","jk33824",20016,392796,13,"S","Y","O","S","I","1","M",52,1
"71","wx89449",11937,8707837,8,"S","Y","O","S","","1","Y",44,NA
"72","zy34157",10703,15415060,NA,"S","","","","G","2","M",34,2
"73","my34148",60068,14846956,NA,"","","","","","","M",NA,NA
"74","zx54779",20815,4413437,13,"S","","","B","","3","F",48,3
"75","ly29646",60622,14414048,NA,"","","","","","","F",NA,NA
"76","dy34665",7950,14843248,12,"S","Y","O","A","G","1","F",42,1
"77","gy37985",2895,15973196,NA,"","Y","","","","3","F",32,1
"78","zy42311",60622,18434770,10,"S","N","O","M","G","1","F",46,1
"79","uy44490",19103,18922630,6,"M","","","B","F","1","Y",28,2
"80","by27621",6824,13759456,11,"S","Y","O","A","D","1","Y",44,3
"81","dy31651",6437,14894288,10,"S","Y","O","S","C","2","Y",18,NA
"82","hy45954",11716,19180998,9,"S","Y","O","M","","1","M",56,NA
"83","kx83347",6405,7821388,8,"S","N","O","M","E","1","Y",52,2
"84","ey32126",2532,15005360,5,"S","N","O","S","","1","M",34,NA
"85","vy31739",7675,14913362,4,"M","Y","O","S","H","2","Y",26,NA
"86","wy22555",11704,12505549,NA,"S","Y","","A","B","4","Y",30,NA
"87","ny39251",11694,17713970,NA,"","","","","","","",NA,NA
"88","fy25959",11435,11663530,NA,"","","","","","","",NA,NA
"89","dx76317",11778,6864849,NA,"","","","","","","Y",NA,NA
"90","yy47759",2881,19467537,NA,"S","Y","","","","2","F",50,NA
"91","ey30936",2840,14720749,9,"S","Y","O","M","H","3","Y",56,2
"92","jy43089",10016,18631336,12,"S","Y","O","M","F","1","F",24,NA
"93","rx85618",11779,6187730,12,"S","Y","O","M","E","1","F",36,3
"94","vx91178",6510,9004030,12,"M","","","B","D","3","Y",30,2
"95","vy41601",60439,18233403,9,"S","N","O","M","F","1","M",36,2
"96","ky40663",60611,18054148,NA,"","","","","","","Y",NA,NA
"97","ty20773",11545,12282170,NA,"","","","","","","F",NA,NA
"98","ly38130",10019,17415736,9,"S","Y","O","S","G","1","Y",24,NA
"99","ay49941",2893,19887136,7,"S","Y","O","M","E","1","Y",44,2
"100","ny50037",12601,19861636,6,"S","N","O","M","","3","Y",54,1
"101","py31095",2769,12049960,11,"S","N","O","M","H","1","Y",44,3
"102","xx96184",60643,10680149,12,"S","N","O","M","F","1","Y",62,2
"103","fx68937",6784,6038130,NA,"","","","","","","Y",NA,NA
"104","yy29995",2111,14458862,NA,"","","","","","","",NA,NA
"105","dy51415",22015,20264248,8,"S","Y","O","M","B","1","F",50,1
"106","xy38531",20003,17424998,NA,"","","","","","","",NA,NA
"107","ox66958",11786,5846156,10,"S","N","O","S","I","1","F",38,1
"108","sy26487",6902,13421848,5,"M","Y","O","S","G","2","Y",48,1
"109","by40818",22039,18025948,NA,"","","","","","","M",NA,NA
"110","ay19794",60601,12067760,NA,"S","","O","","","3","F",NA,NA
"111","ay35828",60622,15645496,NA,"","","","","","","",NA,NA
"112","ry49696",2114,19827349,NA,"","","","","","","Y",NA,NA
"113","ry45767",10530,18881236,11,"M","Y","O","M","C","4","M",42,2
"114","xy51812",7090,20353730,12,"S","N","O","M","E","3","M",60,NA
"115","my48576",11727,13277630,NA,"","","","","","","Y",NA,NA
"116","zy28702",60068,14124256,NA,"","","","","","","Y",NA,NA
"117","jx97422",2888,10914137,11,"S","Y","O","","","1","Y",32,NA
"118","zy23046",20016,12688276,NA,"M","Y","","S","","3","Y",32,1
"119","sx44611",21236,2849730,11,"S","N","O","S","G","1","M",62,1
"120","ny46844",2911,19324030,NA,"M","","","B","","4","M",50,NA
"121","zy46179",2113,19196672,NA,"","","","","","","Y",NA,NA
"122","ay36047",2169,15839288,4,"M","Y","O","S","G","1","Y",34,2
"123","py39783",46202,17850730,NA,"","","","","","","Y",NA,NA
"124","bx66997",2721,5221656,NA,"","","","","","","M",NA,NA
"125","py39897",11361,17872949,NA,"","","","","","","F",NA,NA
"126","yx78383",2633,7163330,NA,"S","","","","","3","F",38,3
"127","uy16170",20854,11246562,12,"S","N","O","M","I","1","Y",66,3
"128","uy33206",6824,15230588,12,"S","Y","O","M","F","1","F",60,2
"129","wx63877",20170,5463337,10,"M","","","M","","1","M",84,NA
"130","ux81664",20910,7632548,7,"M","Y","","S","A","1","Y",34,2
